idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja,preprocessing,kategori_kmeans,kategori_lda
1,Tender,Rehabilitasi Jaringan Irigasi Sekunder Kiri dan Pembuang D.I.Cibaliung (Paket II) Kab. Pandeglang,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22743745,33312682000,0,SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR CIDANAU-CIUJUNG-CIDURIAN,rehabilitasi jaringan irigasi sekunder kiri pembuang d.i.cibaliung paket ii kab pandeglang,16,0
1,Tender,Total Station (TS)[ 2 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744263,217800000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,total station ts 2 unit,12,10
1,Tender,Velocity Meters[ 5 UNIT],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744268,938420000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,velocity meters 5 unit,15,0
1,Penunjukan Langsung,Strategi Keberlanjutan Pasca PAMSIMAS,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741791,92713000,0,INFRASTRUKTUR BERBASIS MASYARAKAT,strategi keberlanjutan pasca pamsimas,0,10
1,Penunjukan Langsung,Tenaga Ahli (Kementerian Bappenas),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741790,30001000,0,INFRASTRUKTUR BERBASIS MASYARAKAT,tenaga ahli kementerian bappenas,14,3
1,e-Purchasing,Pengadaan Kendaraan Dinas Jabatan Roda 4,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Barang, ",2020-01-01,9,22745392,491745000,0,PUSAT PENDIDIKAN DAN PELATIHAN SUMBER DAYA AIR DAN KONSTRUKSI,pengadaan kendaraan dinas jabatan roda 4,14,4
1,Tender,Pengadaan Meubelair UNIV. NEGERI MEDAN,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-01-01,13,22745043,1362000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI SUMATERA UTARA,pengadaan meubelair univ negeri medan,15,5
1,Tender,Pembangunan Jalan Akses Bandara Gewayantana (Larantuka),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Nusa Tenggara Timur-Kupang (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22741523,24987750000,0,PELAKSANAAN JALAN NASIONAL WILAYAH IV PROVINSI NTT,pembangunan jalan akses bandara gewayantana larantuka,2,0
1,Seleksi,Supervisi Konstruksi (Pengawasan) Pengamanan Pantai Anyer- Carita Kab. Serang dan Pandeglang (Pasca Tsunami),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Banten-Serang (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743954,2663040000,0,SNVT PELAKSANAAN JARINGAN SUMBER AIR CIDANAU-CIUJUNG-CIDURIAN,supervisi konstruksi pengawasan pengamanan pantai anyer- carita kab serang pandeglang pasca tsunami,3,10
1,e-Purchasing,Pengadaan Mebel Rumah Susun Univ. Kristen Satya Wacana,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Semarang (Kota), ","Barang, ",2020-01-01,9,22745144,1324000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TENGAH,pengadaan mebel rumah susun univ kristen satya wacana,19,4
1,Penunjukan Langsung,Penguatan Pokja Provinsi Dalam Rangka Pencapaian Akses Universal Air Minum,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Lainnya, ",2020-01-01,7,22741792,370854000,0,INFRASTRUKTUR BERBASIS MASYARAKAT,penguatan pokja provinsi rangka pencapaian akses universal air minum,4,1
1,Tender,Pembangunan Pemanfaatan Air Baku Waduk Gondang Untuk Kab. Sragen di Kab. Sragen;Kab. Sragenr;Kab. Sragen;Jateng[ 1 KEG],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Surakarta (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22744132,52480470000,0,SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR  BENGAWAN SOLO,pembangunan pemanfaatan air baku waduk gondang kab sragen kab sragen kab sragenr kab sragen jateng 1 keg,1,1
1,Tender,MANAJEMEN KONTRUKSI RUMAH SUSUN JATIM - 2 (MKJATIM 20-02),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745165,1255000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TIMUR,manajemen kontruksi rumah susun jatim 2 mkjatim 20-02,15,10
1,e-Purchasing,BELANJA MODAL KEPERLUAN BIRO,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,9,22740788,50000000,0,498488,belanja modal keperluan biro,7,10
1,Tender,PEMBANGUNAN RUMAH SUSUN PROVINSI JAWA TIMUR TA 2020  3 (RSNJATIM 20-03),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745169,36909000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TIMUR,pembangunan rumah susun provinsi jawa timur ta 2020 3 rsnjatim 20-03,19,0
1,Seleksi,PENGELOLAAN SIM HIBAH AIR MINUM,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741810,4000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM,pengelolaan sim hibah air minum,8,10
1,Seleksi,Managemen Konstruksi Rumah Susun Jawa Barat 1 (MKMBR-20-01-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22745105,1254000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT,managemen konstruksi rumah susun jawa barat 1 mkmbr-20-01-jbr,19,10
