,idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja
1308,1,e-Purchasing,BELANJA MODAL KEPERLUAN BIRO,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,9,22740788,50000000,0,498488
1309,1,Tender,PEMBANGUNAN RUMAH SUSUN PROVINSI JAWA TIMUR TA 2020  3 (RSNJATIM 20-03),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Timur-Surabaya (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745169,36909000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA TIMUR
1310,1,Seleksi,PENGELOLAAN SIM HIBAH AIR MINUM,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741810,4000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM
1311,1,Seleksi,Managemen Konstruksi Rumah Susun Jawa Barat 1 (MKMBR-20-01-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22745105,1254000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT
1312,1,e-Purchasing,"Pengadaan Alat Pengolah Data, Komunikasi dan Perangkat Audio Visual",Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kab.), ","Barang, ",2020-01-01,9,22745325,200000000,0,PUSAT PENELITIAN DAN PENGEMBANGAN PERUMAHAN DAN PERMUKIMAN
1313,1,Tender,Pembangunan Rumah Susun  Jawa Barat 5 (RSNMBR-20-05-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745110,31363000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT
1314,1,Tender,Pengadaan Meubelair UNIV. RIS MADUMA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Sumatera Utara-Medan (Kota), ","Barang, ",2020-01-01,13,22745042,1362000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI SUMATERA UTARA
1315,1,Seleksi,Review DED Rumah Susun,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22745115,100000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT
1316,1,Tender,Pengadaan Meubelair Rumah Susun Mahasiswa Jawa Barat 2 (MBLRSN-MHS-20-02-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Barang, ",2020-01-01,13,22745118,2782000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT
1317,1,Tender,Pembangunan Rumah Susun ASN Provinsi Kalimantan Utara,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Utara-Bulungan (Kab.), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745302,24997000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI KALIMANTAN UTARA
1318,1,Pengadaan Langsung,Perangkat Data dan Informasi,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,8,22741822,600140000,0,DIREKTORAT PENGEMBANGAN PENYEHATAN LINGKUNGAN PERMUKIMAN
1319,1,Tender,Peningkatan Konektivitas Wilayah Pulau Kecil Terluar Pulau Sumatera dan Jawa-Bali Dalam Rangka Pembukaan Keterisolasian dan Pengurangan Disparitas,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745360,2000000000,0,PUSAT PERENCANAAN INFASTRUKTUR PUPR
1320,1,Pengadaan Langsung,Pengadaan Kendaraan Operasional,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,8,22741821,503860000,0,DIREKTORAT PENGEMBANGAN PENYEHATAN LINGKUNGAN PERMUKIMAN
1321,1,Seleksi,KONSULTAN BASELINE DAN VERIFIKASI PROGRAM HIBAH AIR MINUM WILAYAH 1,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741812,10000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM
1322,1,Seleksi,KONSULTAN BASELINE DAN VERIFIKASI PROGRAM HIBAH AIR MINUM WILAYAH 2,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741811,10000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM
1323,1,Tender,Rehabilitasi Jaringan Irigasi DI.SIM di Kabupaten Madiun (IPDMIP)[ 1 KEG],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Tengah-Surakarta (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22744121,50360000,0,SNVT PELAKSANAAN JARINGAN PEMANFAATAN AIR  BENGAWAN SOLO
1324,1,Seleksi,KONSULTAN MANAJEMEN TEKNIS PROGRAM HIBAH AIR MINUM TAHUN 2020,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741809,4000000000,0,DIREKTORAT PENGEMBANGAN SISTEM PENYEDIAAN AIR MINUM
1325,1,Seleksi,Studi Kelayakan Jalan Penghubung Lintas Utara Jawa dengan Lintas Tengah Jawa,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Pusat (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741391,3000000000,0,DIREKTORAT PENGEMBANGAN JARINGAN JALAN
1326,1,Seleksi,DED Perbaikan Bendung Karet Krueng Aceh di Kab. Aceh Besar,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Aceh-Aceh Besar (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744595,990702000,0,BALAI WILAYAH SUNGAI SUMATERA I
1327,1,Pengadaan Langsung,Peralatan dan Fasilitas Perkantoran,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,8,22741820,96000000,0,DIREKTORAT PENGEMBANGAN PENYEHATAN LINGKUNGAN PERMUKIMAN
